image_id,count
20140318095536,47404
20140318095759,42089
20140318095824,52807
20140318095850,49755
20140318095920,68069
20140318100142,50488
20140318100213,46169
20140318100239,48273
20140318100310,50686
20140318103014,6840
20140318103119,6657
20140318103200,18906
20140318103230,22824
20140318103256,30055
20140318103327,21328
20140318104932,3861
20140318105033,3297
20140318105113,10028
20140318105144,13561
20140318105210,14398
20140318105241,15656
20140318105321,5134
20140318105422,5437
20140318105503,14273
20140318105528,15698
20140318105558,20956
20140318105628,21353
20140318105710,5329
20140318105811,4950
20140318105852,14270
20140318105917,14948
20140318105943,16119
20140318110014,20323
20140318110054,5748
20140318110154,5074
20140318110235,12770
20140318110301,18833
20140318110327,22382
20140318110358,17725
20140318110439,5540
20140318110539,5838
20140318110619,16735
20140318110649,20367
20140318110715,24781
20140318110746,19395
20140318110827,5232
20140318110931,5839
20140318111012,17175
20140318111044,17625
20140318111109,20652
20140318111142,24208
20140318111223,7646
20140318111323,9008
20140318111404,26491
20140318111433,31047
20140318111459,30085
20140318111530,24875
20140318111611,6544
20140318111712,6625
20140318111752,22676
20140318111822,19658
20140318111848,26908
20140318111918,25914
20140318111959,7025
20140318112059,7162
20140318112140,17960
20140318112206,29104
20140318112235,24562
20140318112306,23652
20140318112447,4960
20140318112527,15553
20140318112558,26898
20140318112623,28276
20140318112653,22338
20140318112734,7405
20140318112835,7720
20140318112915,21464
20140318112941,28966
20140318113007,30915
20140318113039,25951
20140318113120,7228
20140318113221,7949
20140318113302,26744
20140318113333,22166
20140318113430,28470
20140318115403,6182
20140318115504,5805
20140318115545,20945
20140318115611,30261
20140318115636,28152
20140318115707,24427
20140318115748,5898
20140318115849,6180
20140318115929,20524
20140318120000,25749
20140318120025,30506
20140318120100,22687
20140318120141,6120
20140318120241,7943
20140318120322,19784
20140318120354,20208
20140318120419,32704
20140318120450,31667
20140318120531,6446
20140318120632,7073
20140318120713,18421
20140318120738,27471
20140318120804,30471
20140318120835,32422
20140318120916,5495
20140318121102,22018
20140318121128,25656
20140318121153,35263
20140318121224,26236
20140318121405,6674
20140318121446,23364
20140318121518,31672
20140318121543,37774
20140318121614,27703
20140318121756,6242
20140318121836,19487
20140318121902,21423
20140318121932,43364
20140318122002,42683
20140318122043,7952
20140318122143,7222
20140318122224,23191
20140318122249,39926
20140318122320,39186
20140318122351,32221
20140318122431,8117
20140318122532,8254
20140318122613,26752
20140318122639,37563
20140318122704,36109
20140318122735,37026
20140318122816,9659
20140318122917,9702
20140318123002,26044
20140318123028,30692
20140318123058,42668
20140318123129,50259
20140318123209,9184
20140318123310,7329
20140318123351,26917
20140318123436,32351
20140318123502,49532
20140318123532,35078
20140318123612,6635
20140318123713,6266
20140318123754,19179
20140318123826,21253
20140318123852,28396
20140318123924,28040
20140318124106,7462
20140318124146,22439
20140318124212,24116
20140318124242,40010
20140318124313,26035
20140318124605,8261
20140318124630,13334
20140318124702,10387
20140318124929,39622
20140318125001,64252
20140318125027,73458
20140318125057,99811
20140318125138,7058
20140318125238,8599
20140318125319,29959
20140318125350,31721
20140318125416,45408
20140318125447,36509
20140318125528,15977
20140318125709,52265
20140318125741,89306
20140318125806,91497
20140318125837,82299
20140318125918,8409
20140318130018,8655
20140318130059,28422
20140318130129,36581
20140318130154,47411
20140318130225,30256
20140318130543,57499
20140318130614,46408
20140318130850,13901
20140318130922,19332
20140318130947,22964
20140318131018,28580
20140318131111,12388
20140318131211,13035
20140318131318,73299
20140318131344,64948
20140318131414,91583
20140318131455,11195
20140318131556,10183
20140318131637,34031
20140318131706,41611
20140318131731,62483
20140318131801,59752
20140318131857,679
20140318131958,939
20140318132039,7848
20140318132110,11936
20140318132136,21307
20140318132207,20973
20140318135450,1322
20140318135550,2273
20140318135701,21285
20140318135726,28566
20140318135757,29963
20140318135838,1704
20140318140020,10547
20140318140050,21402
20140318140116,34100
20140318140150,34166
20140318140230,3327
20140318140416,14712
20140318140446,24134
20140318140511,41272
20140318140542,29686
20140318140723,1165
20140318140804,7084
20140318140834,10478
20140318140902,18298
20140318140933,22287
20140318141014,1190
20140318141114,1871
20140318141155,9730
20140318141227,10595
20140318141252,28448
20140318141323,25058
20140318141545,21376
20140318141615,27949
20140318141641,34563
20140318141711,37699
20140318141752,2002
20140318141852,1910
20140318141934,14202
20140318141959,18832
20140318142025,24354
20140318142056,24257
20140318142137,3952
20140318142238,5182
20140318142318,19208
20140318142344,29124
20140318142409,38843
20140318142440,34500
20140318142521,2263
20140318142628,3694
20140318142709,20546
20140318142738,30485
20140318142804,41974
20140318142835,43536
20140318143100,25148
20140318143126,20289
20140318143156,52099
20140318143226,45156
