date,count
2016-05-19,19386
2016-05-20,29199
2016-05-21,10266
2016-05-23,195309
2016-05-24,272584
2016-05-25,638297
2016-05-27,66892
2016-05-29,203968
2016-05-30,2670656
2016-05-31,14460858
2016-06-12,6712276
2016-06-13,3045098
2016-06-14,3035533
2016-06-15,8368943
2016-06-28,496659
2016-06-29,567866
2016-06-30,301741
2016-07-03,139627
2016-07-10,110981
2016-07-12,25662
2016-07-14,4587054
2016-07-16,28338
2016-07-17,331124
2016-07-25,2515527
2016-07-26,39641
2016-07-27,2708893
2016-07-28,64634
2016-07-29,150104
2016-08-04,519901
2016-08-06,131515
2016-08-10,95210
2016-08-11,97877
2016-08-12,3170964
2016-08-14,1443938
2016-08-16,1247599
2016-08-17,76012
2016-08-21,1046796
2016-08-25,895961
2016-08-26,122218
2016-08-27,35361
2016-08-28,5400871
2016-08-29,4811986
2016-09-03,6401787
2016-09-04,3641097
2016-09-05,8220785
2016-09-06,2441383
2016-09-07,824963
2016-09-11,310111
2016-09-12,776056
2016-09-16,1825344
2016-09-19,1165361
2016-09-25,232494
2016-09-26,880445
2016-09-27,724865
2016-09-28,109711
2016-09-30,227264
2016-10-01,1638546
2016-10-03,590429
2016-10-04,500552
2016-10-05,2016836
2016-10-06,2105144
2016-10-07,188167
2016-10-08,225886
2016-10-09,357105
2016-10-11,1055592
2016-10-20,3996530
2016-10-22,1372673
2016-10-23,3233885
2016-10-24,2887970
2016-10-25,2817522
2016-10-26,561794
2016-10-31,1113445
2016-11-01,2178886
2016-11-02,1345918
2016-11-03,2916077
2016-11-04,4703768
2016-11-05,3868237
2016-11-06,5711651
2016-11-07,5971377
2016-11-09,2800240
2016-11-10,2851186
2016-11-11,8579
2016-11-13,240003
2016-11-15,4787455
2016-11-16,5144919
2016-11-17,2618272
2016-11-18,2580711
2016-11-19,1283507
2016-11-22,5017874
2016-11-23,168078
2016-11-24,2790557
2016-11-25,3531599
2016-11-26,1370270
2016-11-27,2651638
2016-11-28,5015460
2016-11-29,4365343
2016-11-30,311778
2016-12-01,3142463
2016-12-02,2307620
2016-12-03,143070
2016-12-04,65077
2016-12-09,421838
2016-12-10,14096489
2016-12-11,3451520
2016-12-12,8818232
2016-12-13,878336
2016-12-17,4454039
2016-12-18,542248
2016-12-19,8017527
2016-12-20,3396736
2016-12-21,15269737
2016-12-22,6521805
2016-12-23,909726
2016-12-25,3174377
2016-12-26,4512794
2016-12-27,5764377
2016-12-28,3592009
2016-12-29,2886888
2017-01-02,156693
2017-01-03,374673
2017-01-04,34585
2017-01-05,6439218
2017-01-06,1104669
2017-01-07,2946366
2017-01-08,98957
2017-01-09,592260
2017-01-12,4060317
2017-01-14,137362
2017-01-15,3340921
2017-01-18,35087
2017-01-21,202586
2017-01-22,2414467
2017-01-23,822572
2017-01-28,815833
2017-01-30,4240943
2017-02-02,642852
2017-02-06,6181136
2017-02-08,3410821
2017-02-10,865
2017-02-11,1088624
2017-02-14,796616
2017-02-15,25504300
2017-02-16,1359596
2017-02-20,1352670
2017-02-22,8009290
2017-02-23,11127635
2017-02-24,2468679
2017-02-26,1632440
2017-02-27,2751831
2017-03-01,320595
2017-03-02,1366880
2017-03-05,6409449
2017-03-06,1571216
2017-03-07,150849
2017-03-08,2557299
2017-03-09,6470443
2017-03-10,10172285
2017-03-11,52290218
2017-03-12,378798
2017-03-13,66805
2017-03-14,1493007
2017-03-15,1179272
2017-03-16,12726406
2017-03-17,2284086
2017-03-26,2606243
2017-03-28,1419761
2017-03-30,1374993
2017-03-31,12905955
2017-04-01,13376264
2017-04-02,185953
2017-04-03,6139766
2017-04-04,20882802
2017-04-05,1086225
2017-04-07,8797926
2017-04-08,50949301
2017-04-11,25737043
2017-04-12,3835839
2017-04-13,13891499
2017-04-14,5069701
2017-04-15,3766654
2017-04-16,4338932
2017-04-17,3416742
2017-04-18,3551490
2017-04-19,3059921
2017-04-20,5808738
2017-04-21,4303925
2017-04-22,24762714
2017-04-23,7577330
2017-04-27,2177363
2017-04-28,16667659
2017-04-29,1818223
2017-04-30,16396742
2017-05-01,3986055
2017-05-02,1069297
2017-05-04,623634
2017-05-05,20244046
2017-05-06,31065849
2017-05-07,10540088
2017-05-08,1183152
2017-05-09,2774542
2017-05-10,7601107
2017-05-11,568914
2017-05-13,494958
2017-05-14,143052
2017-05-15,12547392
2017-05-16,2410190
2017-05-17,1120306
2017-05-18,203187
2017-05-20,8778115
2017-05-21,3458863
2017-05-22,16167117
2017-05-24,1400590
2017-05-25,19333646
2017-07-18,7476864
2017-07-20,1501520
2017-07-21,7797476
2017-07-22,13948954
2017-07-23,6961150
2017-07-26,6803024
2017-07-27,2494822
2017-07-28,5821646
2017-07-29,7224325
2017-07-30,468969
2017-07-31,134171
2017-08-01,2904792
2017-08-02,870457
2017-08-04,146368
2017-08-05,1549382
2017-08-06,3758358
2017-08-07,6932622
2017-08-08,9514251
2017-08-09,16824980
2017-08-10,27142749
2017-08-12,7680580
2017-08-13,4203855
2017-08-14,4957411
2017-08-15,2369461
2017-08-16,4228376
2017-08-17,4805620
2017-08-18,318590
2017-08-19,762226
2017-08-20,4967324
2017-08-21,125096
2017-08-22,6017322
2017-08-23,10898145
2017-08-24,1543999
2017-08-25,8692815
2017-08-27,26551
2017-08-28,1056389
2017-08-29,600255
2017-08-30,1380898
2017-08-31,206661
2017-09-01,2524554
2017-09-02,3030244
2017-09-03,88985
2017-09-04,955288
2017-09-05,435486
2017-09-06,80090
2017-09-07,251602
2017-09-08,2605659
2017-09-09,2336979
2017-09-10,5398383
2017-09-11,2446238
2017-09-14,1018796
2017-09-15,3154367
2017-09-16,4890177
2017-09-17,1132480
2017-09-18,144366
2017-09-19,2388792
2017-09-20,5769705
2017-09-21,5753419
2017-09-24,665700
2017-09-25,826024
2017-09-26,23947
2017-10-01,191820
2017-10-05,1309644
2017-10-06,1323718
2017-10-07,1575767
2017-10-09,2694728
2017-10-10,481796
2017-10-12,2021206
2017-10-13,1946257
2017-10-14,817149
2017-10-15,497524
2017-10-16,1620483
2017-10-17,191757
2017-11-02,1098445
2017-11-04,83974
2017-11-05,3616
2017-11-06,213406
2017-11-07,686212
2017-11-08,340225
2017-11-09,69751
2017-11-10,849562
2017-11-11,1124064
2017-11-12,1124213
2017-11-14,934021
2017-11-16,744542
2017-11-19,759012
2017-11-20,1619566
2017-11-21,1075214
2017-11-22,195551
2017-11-23,1272365
2017-11-25,1113530
2017-11-26,64861
2017-11-27,155765
2017-12-03,658757
2017-12-04,1140514
2017-12-05,1020223
2017-12-07,746661
2017-12-09,2017495
2017-12-10,1301185
2017-12-11,2532872
2017-12-12,1684546
2017-12-13,32011
2017-12-14,628739
2017-12-20,16231
2017-12-21,6723
2017-12-22,3713477
2017-12-23,47204
2017-12-24,2089571
2017-12-25,298100
2017-12-26,39394
2017-12-27,2593216
2017-12-28,1038613
2017-12-30,5421651
2018-01-01,799909
2018-01-02,8700134
2018-01-03,5597154
2018-01-04,13143349
2018-01-05,9864521
2018-01-06,16366085
2018-01-07,3800529
2018-01-08,1398290
2018-01-10,956947
2018-01-11,4923999
2018-01-12,1317993
2018-01-17,15094390
2018-01-18,11152845
2018-01-20,10416520
2018-01-21,11456566
2018-01-22,4922875
2018-01-23,1734833
2018-01-29,7938015
2018-01-30,1339675
2018-02-13,18730543
2018-02-14,1436819
2018-02-15,17918328
2018-02-16,20651312
2018-02-17,29669701
2018-02-18,11228926
2018-02-20,10608788
2018-02-22,6338872
2018-02-26,5133915
2018-02-27,8748826
2018-02-28,5371941
2018-03-01,8303159
2018-03-02,5096405
2018-03-08,5266714
2018-03-09,4854835
2018-03-10,8154888
2018-03-11,9311894
2018-03-12,3945201
2018-03-14,22534250
