date,count_all,count_nullID
2016-07-17,331124,2822
2016-07-25,2515527,20013
2016-07-26,39641,2306
2016-07-27,2708893,68599
2016-07-28,64634,527
2016-07-29,150104,1578
2016-08-04,519901,5521
2016-08-06,131515,1041
2016-08-10,95210,1018
2016-08-11,97877,1103
2016-08-12,3170964,17320
2016-08-14,1443938,19507
2016-08-16,1247599,26387
2016-08-17,76012,285
2016-08-21,1046796,24596
2016-08-25,895961,44106
2016-08-26,122218,1094
2016-08-27,35361,338
2016-08-28,5400871,89817
2016-08-29,4811986,149413
2016-09-03,6401787,69041
2016-09-04,3641097,19084
2016-09-05,8220785,108581
2016-09-06,2441383,38511
2016-09-07,824963,18164
2016-09-11,310111,9393
2016-09-12,776056,17350
2016-09-16,1825344,24741
2016-09-19,1165361,10093
2016-09-25,232494,1839
2016-09-26,880445,8999
2016-09-27,724865,12419
2016-09-28,109711,4531
2016-09-30,227264,2531
2016-10-01,1638546,18846
2016-10-03,590429,6544
2016-10-04,500552,14093
2016-10-05,2016836,37704
2016-10-06,2105144,44699
2016-10-07,188167,2993
2016-10-08,225886,1337
2016-10-09,357105,6605
2016-10-11,1055592,13929
2016-10-20,3996530,29525
2016-10-22,1372673,17585
2016-10-23,3233885,56989
2016-10-24,2887970,38930
2016-10-25,2817522,49087
2016-10-26,561794,13960
2016-10-31,1113445,13659
2016-11-01,2178886,30300
2016-11-02,1345918,19741
2016-11-03,2916077,43465
2016-11-04,4703768,55735
2016-11-05,3868237,72754
2016-11-06,5711651,147847
2016-11-07,5971377,87609
2016-11-09,2800240,68512
2016-11-10,2851186,61958
2016-11-11,8579,125
2016-11-13,240003,1807
2016-11-15,4787455,264766
2016-11-16,5144919,80465
2016-11-17,2618272,64260
2016-11-18,2580711,72169
2016-11-19,1283507,9910
2016-11-22,5017874,115372
2016-11-23,168078,2925
2016-11-24,2790557,41330
2016-11-25,3531599,54108
2016-11-26,1370270,20310
2016-11-27,2651638,64494
2016-11-28,5015460,83550
2016-11-29,4365343,84718
2016-11-30,311778,5771
2016-12-01,3142463,41533
2016-12-02,2307620,14472
2016-12-03,143070,2523
2016-12-04,65077,1127
2016-12-09,421838,2172
2016-12-10,14096489,238126
2016-12-11,3451520,96432
2016-12-12,8818232,476530
2016-12-13,878336,9797
2016-12-17,4454039,121367
2016-12-18,542248,6806
2016-12-19,8017527,74341
2016-12-20,3396736,36935
2016-12-21,15269737,168731
2016-12-22,6521805,129227
2016-12-23,909726,12756
2016-12-25,3174377,39096
2016-12-26,4512794,74798
2016-12-27,5764377,83044
2016-12-28,3592009,68826
2016-12-29,2886888,86304
2017-01-02,156693,2235
2017-01-03,374673,2916
2017-01-04,34585,389
2017-01-05,6439218,123587
2017-01-06,1104669,15984
2017-01-07,2946366,63337
2017-01-08,98957,1043
2017-01-09,592260,9648
2017-01-12,4060317,72634
2017-01-14,137362,2105
2017-01-15,3340921,183883
2017-01-18,35087,642
2017-01-21,202586,2253
2017-01-22,2414467,36320
2017-01-23,822572,16147
2017-01-28,815833,26589
2017-01-30,4240943,46690
2017-02-02,642852,8357
2017-02-06,6181136,81686
2017-02-08,3410821,59974
2017-02-10,865,20
2017-02-11,1088624,13167
2017-02-14,796616,15003
2017-02-15,25504300,558197
2017-02-16,1359596,8780
2017-02-20,1352670,26672
2017-02-22,8009290,149297
2017-02-23,11127635,199845
2017-02-24,2468679,22755
2017-02-26,1632440,27549
2017-02-27,2751831,61498
2017-03-01,320595,10694
2017-03-02,1366880,18350
2017-03-05,6409449,159756
2017-03-06,1571216,15758
2017-03-07,150849,1383
2017-03-08,2557299,31913
2017-03-09,6470443,59088
2017-03-10,10172285,425858
2017-03-11,52290218,1069702
2017-03-12,378798,30
2017-03-13,66805,3101
2017-03-14,1493007,19910
2017-03-15,1179272,34413
2017-03-16,12726406,139549
2017-03-17,2284086,22506
2017-03-26,2606243,42781
2017-03-28,1419761,46501
2017-03-30,1374993,26168
2017-03-31,12905955,200953
2017-04-01,13376264,180262
2017-04-02,185953,7301
2017-04-03,6139766,67144
2017-04-04,20882802,566105
2017-04-05,1086225,26649
2017-04-07,8797926,113045
2017-04-08,50949301,1125533
2017-04-11,25737043,448470
2017-04-12,3835839,44381
2017-04-13,13891499,174216
2017-04-14,5069701,58130
2017-04-15,3766654,46498
2017-04-16,4338932,48425
2017-04-17,3416742,47799
2017-04-18,3551490,77394
2017-04-19,3059921,81552
2017-04-20,5808738,164102
2017-04-21,4303925,65988
2017-04-22,24762714,391269
2017-04-23,7577330,134068
2017-04-27,2177363,21977
2017-04-28,16667659,219150
2017-04-29,1818223,25580
2017-04-30,16396742,445560
2017-05-01,3986055,78007
2017-05-02,1069297,9203
2017-05-04,623634,9584
2017-05-05,20244046,299363
2017-05-06,31065849,458392
2017-05-07,10540088,70765
2017-05-08,1183152,18432
2017-05-09,2774542,36861
2017-05-10,7601107,82736
2017-05-11,568914,2971
2017-05-13,494958,9864
2017-05-14,143052,889
2017-05-15,12547392,131867
2017-05-16,2410190,38760
2017-05-17,1120306,14043
2017-05-18,203187,2106
2017-05-20,8778115,126570
2017-05-21,3458863,46315
2017-05-22,16167117,252474
2017-05-24,1400590,19125
2017-05-25,19333646,274823
2017-07-18,7476864,128584
2017-07-20,1501520,22684
2017-07-21,7797476,88882
2017-07-22,13948954,198889
2017-07-23,6961150,86985
2017-07-26,6803024,215871
2017-07-27,2494822,31327
2017-07-28,5821646,102581
2017-07-29,7224325,105938
2017-07-30,468969,3355
2017-07-31,134171,1323
2017-08-01,2904792,36667
2017-08-02,870457,18262
2017-08-04,146368,2024
2017-08-05,1549382,39557
2017-08-06,3758358,31503
2017-08-07,6932622,80623
2017-08-08,9514251,160436
2017-08-09,16824980,176303
2017-08-10,27142749,430331
2017-08-12,7680580,77817
2017-08-13,4203855,59847
2017-08-14,4957411,73099
2017-08-15,2369461,31269
2017-08-16,4228376,51627
2017-08-17,4805620,79272
2017-08-18,318590,5050
2017-08-19,762226,7845
2017-08-20,4967324,41119
2017-08-21,125096,765
2017-08-22,6017322,85803
2017-08-23,10898145,174804
2017-08-24,1543999,29840
2017-08-25,8692815,176182
2017-08-27,26551,459
2017-08-28,1056389,29467
2017-08-29,600255,6156
2017-08-30,1380898,23959
2017-08-31,206661,4094
2017-09-01,2524554,32549
2017-09-02,3030244,41352
2017-09-03,88985,1043
2017-09-04,955288,2708
2017-09-05,435486,6546
2017-09-06,80090,1364
2017-09-07,251602,1798
2017-09-08,2605659,19376
2017-09-09,2336979,14733
2017-09-10,5398383,78375
2017-09-11,2446238,42923
2017-09-14,1018796,20814
2017-09-15,3154367,40788
2017-09-16,4890177,79334
2017-09-17,1132480,17535
2017-09-18,144366,692
2017-09-19,2388792,27924
2017-09-20,5769705,113090
2017-09-21,5753419,101721
